Name,Roll No,Batch,Department
Student_1,Roll1,23,Software Engineering
Student_2,Roll2,22,Computer Science
Student_3,Roll3,22,Computer Science
Student_4,Roll4,24,Business Analytics
Student_5,Roll5,24,Computer Science
Student_6,Roll6,24,Business Analytics
Student_7,Roll7,21,Electrical Engineering
Student_8,Roll8,24,Computer Science
Student_9,Roll9,24,Software Engineering
Student_10,Roll10,23,Electrical Engineering
Student_11,Roll11,22,Artificial Intelligence
Student_12,Roll12,23,Artificial Intelligence
Student_13,Roll13,24,Electrical Engineering
Student_14,Roll14,21,Software Engineering
Student_15,Roll15,21,Electrical Engineering
Student_16,Roll16,21,Business Analytics
Student_17,Roll17,24,Computer Science
Student_18,Roll18,21,Electrical Engineering
Student_19,Roll19,24,Business Analytics
Student_20,Roll20,21,Artificial Intelligence
Student_21,Roll21,24,Electrical Engineering
Student_22,Roll22,22,Business Analytics
Student_23,Roll23,21,Artificial Intelligence
Student_24,Roll24,23,Artificial Intelligence
Student_25,Roll25,22,Artificial Intelligence
Student_26,Roll26,24,Electrical Engineering
Student_27,Roll27,23,Computer Science
Student_28,Roll28,22,Business Analytics
Student_29,Roll29,23,Software Engineering
Student_30,Roll30,23,Artificial Intelligence
Student_31,Roll31,23,Computer Science
Student_32,Roll32,21,Electrical Engineering
Student_33,Roll33,23,Artificial Intelligence
Student_34,Roll34,23,Artificial Intelligence
Student_35,Roll35,21,Business Analytics
Student_36,Roll36,21,Artificial Intelligence
Student_37,Roll37,24,Artificial Intelligence
Student_38,Roll38,23,Computer Science
Student_39,Roll39,22,Artificial Intelligence
Student_40,Roll40,22,Electrical Engineering
Student_41,Roll41,22,Business Analytics
Student_42,Roll42,21,Software Engineering
Student_43,Roll43,24,Artificial Intelligence
Student_44,Roll44,24,Software Engineering
Student_45,Roll45,22,Electrical Engineering
Student_46,Roll46,22,Artificial Intelligence
Student_47,Roll47,21,Software Engineering
Student_48,Roll48,24,Software Engineering
Student_49,Roll49,21,Artificial Intelligence
Student_50,Roll50,22,Business Analytics
Student_51,Roll51,21,Artificial Intelligence
Student_52,Roll52,24,Business Analytics
Student_53,Roll53,21,Business Analytics
Student_54,Roll54,22,Artificial Intelligence
Student_55,Roll55,22,Artificial Intelligence
Student_56,Roll56,24,Business Analytics
Student_57,Roll57,23,Artificial Intelligence
Student_58,Roll58,22,Computer Science
Student_59,Roll59,22,Artificial Intelligence
Student_60,Roll60,22,Electrical Engineering
Student_61,Roll61,22,Electrical Engineering
Student_62,Roll62,24,Software Engineering
Student_63,Roll63,24,Electrical Engineering
Student_64,Roll64,22,Computer Science
Student_65,Roll65,21,Software Engineering
Student_66,Roll66,23,Electrical Engineering
Student_67,Roll67,21,Computer Science
Student_68,Roll68,24,Artificial Intelligence
Student_69,Roll69,24,Software Engineering
Student_70,Roll70,22,Business Analytics
Student_71,Roll71,21,Software Engineering
Student_72,Roll72,21,Computer Science
Student_73,Roll73,23,Electrical Engineering
Student_74,Roll74,24,Software Engineering
Student_75,Roll75,21,Artificial Intelligence
Student_76,Roll76,23,Electrical Engineering
Student_77,Roll77,22,Computer Science
